age,employed_now,employed_wife,employed_out_wife,college_deg,children,condition,married,c_list,t_list,c_outside_self,c_outside_guess,c_outside_confidence,t_outside_guess,t_outside_confidence,t_outside_mean,c_outside_mean,c_outside_guess_frac,t_outside_guess_frac,c_outside_wedge,t_outside_wedge
24,2,1,2,TRUE,1,1,TRUE,NA,2,NA,NA,NA,45.79999923706055,5,80.45547348826037,82.41758241758241,NA,0.45799999237060546,NA,-34.65547425119982
29,1,0,0,FALSE,2,1,TRUE,NA,2,NA,NA,NA,0,3,80.45547348826037,82.41758241758241,NA,0,NA,-80.45547348826037
٣٤,1,0,0,TRUE,3,0,TRUE,2,NA,1,96.19999694824219,5,NA,NA,80.45547348826037,82.41758241758241,0.9619999694824218,NA,13.782414530659779,NA
24,2,1,2,TRUE,1,0,TRUE,2,NA,1,99.69999694824219,5,NA,NA,80.45547348826037,82.41758241758241,0.9969999694824219,NA,17.28241453065978,NA
24,1,0,0,TRUE,2,1,TRUE,NA,1,NA,NA,NA,72.4000015258789,5,80.45547348826037,82.41758241758241,NA,0.7240000152587891,NA,-8.05547196238146
29,1,0,0,TRUE,2,0,TRUE,1,NA,1,74.5999984741211,5,NA,NA,80.45547348826037,82.41758241758241,0.745999984741211,NA,-7.817583943461315,NA
24,1,0,0,TRUE,2,1,TRUE,NA,1,NA,NA,NA,64.4000015258789,5,80.45547348826037,82.41758241758241,NA,0.644000015258789,NA,-16.05547196238146
24,1,1,2,TRUE,1,0,TRUE,1,NA,1,96.9000015258789,5,NA,NA,80.45547348826037,82.41758241758241,0.9690000152587891,NA,14.482419108296497,NA
34,1,0,0,FALSE,2,0,TRUE,0,NA,1,64.19999694824219,3,NA,NA,80.45547348826037,82.41758241758241,0.6419999694824219,NA,-18.21758546934022,NA
23,1,1,2,TRUE,2,1,TRUE,NA,1,NA,NA,NA,63.80000305175781,5,80.45547348826037,82.41758241758241,NA,0.6380000305175781,NA,-16.655470436502554
24,1,1,2,TRUE,2,1,TRUE,NA,3,NA,NA,NA,36.29999923706055,5,80.45547348826037,82.41758241758241,NA,0.3629999923706055,NA,-44.15547425119982
23,1,0,0,TRUE,2,1,TRUE,NA,1,NA,NA,NA,57.69999694824219,4,80.45547348826037,82.41758241758241,NA,0.5769999694824218,NA,-22.75547654001818
23,1,1,2,TRUE,2,0,TRUE,1,NA,0,64.0999984741211,5,NA,NA,80.45547348826037,82.41758241758241,0.6409999847412109,NA,-18.317583943461315,NA
31,2,1,2,TRUE,2,0,TRUE,2,NA,1,40.29999923706055,3,NA,NA,80.45547348826037,82.41758241758241,0.40299999237060546,NA,-42.11758318052186,NA
23,1,1,2,TRUE,1,0,TRUE,3,NA,1,47.599998474121094,5,NA,NA,80.45547348826037,82.41758241758241,0.4759999847412109,NA,-34.817583943461315,NA
23,1,1,2,FALSE,1,0,TRUE,1,NA,1,47.900001525878906,5,NA,NA,80.45547348826037,82.41758241758241,0.47900001525878905,NA,-34.5175808917035,NA
23,1,0,0,FALSE,1,1,TRUE,NA,1,NA,NA,NA,57.099998474121094,5,80.45547348826037,82.41758241758241,NA,0.5709999847412109,NA,-23.355475014139273
30,2,1,2,TRUE,5,1,TRUE,NA,3,NA,NA,NA,30.299999237060547,3,80.45547348826037,82.41758241758241,NA,0.3029999923706055,NA,-50.15547425119982
23,1,1,2,TRUE,2,1,TRUE,NA,3,NA,NA,NA,63.70000076293945,5,80.45547348826037,82.41758241758241,NA,0.6370000076293946,NA,-16.755472725320914
23,1,1,2,TRUE,3,0,TRUE,1,NA,1,79.30000305175781,5,NA,NA,80.45547348826037,82.41758241758241,0.7930000305175782,NA,-3.1175793658245965,NA
0,2,0,0,FALSE,3,0,TRUE,3,NA,1,99.9000015258789,5,NA,NA,80.45547348826037,82.41758241758241,0.999000015258789,NA,17.482419108296497,NA
29,1,1,2,TRUE,2,1,TRUE,NA,3,NA,NA,NA,51,5,80.45547348826037,82.41758241758241,NA,0.51,NA,-29.455473488260367
36,1,0,0,FALSE,2,0,TRUE,1,NA,1,5.199999809265137,2,NA,NA,80.45547348826037,82.41758241758241,0.051999998092651364,NA,-77.21758260831727,NA
٣٣,1,0,0,FALSE,1,1,TRUE,NA,2,NA,NA,NA,80.5,3,80.45547348826037,82.41758241758241,NA,0.805,NA,0.04452651173963318
33,1,0,0,FALSE,4,1,TRUE,NA,0,NA,NA,NA,79.4000015258789,3,80.45547348826037,82.41758241758241,NA,0.794000015258789,NA,-1.0554719623814606
33,1,0,0,FALSE,3,0,TRUE,2,NA,0,35.400001525878906,3,NA,NA,80.45547348826037,82.41758241758241,0.35400001525878905,NA,-47.0175808917035,NA
34,1,0,0,FALSE,1,1,TRUE,NA,2,NA,NA,NA,8,2,80.45547348826037,82.41758241758241,NA,0.08,NA,-72.45547348826037
29,1,0,0,TRUE,3,0,TRUE,1,NA,1,60.599998474121094,4,NA,NA,80.45547348826037,82.41758241758241,0.605999984741211,NA,-21.817583943461315,NA
30,1,0,0,TRUE,4,1,TRUE,NA,4,NA,NA,NA,100,4,80.45547348826037,82.41758241758241,NA,1,NA,19.544526511739633
33,1,0,0,FALSE,3,0,TRUE,3,NA,1,77.0999984741211,3,NA,NA,80.45547348826037,82.41758241758241,0.7709999847412109,NA,-5.317583943461315,NA
30,1,0,0,TRUE,4,0,TRUE,3,NA,0,38.599998474121094,4,NA,NA,80.45547348826037,82.41758241758241,0.38599998474121094,NA,-43.817583943461315,NA
27,1,0,0,FALSE,2,1,TRUE,NA,1,NA,NA,NA,2.5,2,80.45547348826037,82.41758241758241,NA,0.025,NA,-77.95547348826037
36,1,0,0,TRUE,5,0,TRUE,2,NA,1,91.19999694824219,4,NA,NA,80.45547348826037,82.41758241758241,0.9119999694824219,NA,8.782414530659779,NA
26,1,0,0,FALSE,2,1,TRUE,NA,2,NA,NA,NA,0.10000000149011612,5,80.45547348826037,82.41758241758241,NA,0.0010000000149011613,NA,-80.35547348677025
