haafez_self,vjobs_self,applied_out_fl,driving_fl,interviewed_out_fl,employed_now_out_fl,outside_objective,outside_guess,outside_others_fl,min_wage_fl_per,children,outside_others_fl2,interview_sched_out_fl,matched,session,outside_self,semiseg_self,mwage_self,outside_others,semiseg_others,mwage_others,employed_wife,employed_now,education,age,secondary,num_knows_per,num_mfs_per,signed_up_number,outside_wedge,condition2,outside_confidence,employed_3mos_out_fl
1,1,0,1,0,1,29,1,10,0.16666666666666666,2,0.3333333333333333,0,1,4,1,1,1,0,29,1,1,1,5,34,1,0.9666666666666667,0.6666666666666666,1,-28,0,5,1
1,1,0,0,0,0,29,13,30,0.6,2,1,0,1,4,1,1,1,12,23,16,1,1,5,20,1,0.16666666666666666,0.16666666666666666,0,-16,0,3,0
1,1,1,1,0,0,29,29,25,0.16666666666666666,1,0.8333333333333334,0,1,4,1,1,1,28,29,29,1,1,3,18,1,0,0.9666666666666667,1,0,1,5,0
1,1,0,1,0,1,29,15,15,0,0,0.5,0,1,4,1,1,1,14,9,10,1,0,3,18,1,0.16666666666666666,0.16666666666666666,1,-14,1,3,1
1,1,0,0,0,0,29,25,20,0.16666666666666666,2,0.6666666666666666,0,1,4,1,1,1,24,25,23,1,1,6,30,1,0.9666666666666667,0.16666666666666666,0,-4,0,5,0
1,1,0,1,0,0,29,30,30,0.5333333333333333,0,1,0,1,4,1,1,1,29,29,24,1,1,7,23,1,0.9666666666666667,0.9666666666666667,0,1,0,5,0
1,1,0,1,0,0,29,1,25,0.9333333333333333,0,0.8333333333333334,0,1,4,1,1,1,0,0,19,1,1,6,24,1,0.9666666666666667,0.9666666666666667,1,-28,1,1,0
1,1,0,1,0,0,29,17,30,0.3333333333333333,3,1,0,1,4,1,1,1,16,29,13,1,1,6,24,1,0.5,0.5,1,-12,1,4,0
1,1,0,1,0,0,29,20,5,1,0,0.16666666666666666,0,1,4,1,1,1,19,29,29,1,1,6,27,1,0.9666666666666667,0,0,-9,0,5,0
1,1,0,1,0,0,29,30,10,1,2,0.3333333333333333,0,1,4,1,1,1,29,28,25,1,1,3,20,1,0.9666666666666667,0.9666666666666667,1,1,1,5,0
1,0,1,1,0,0,29,20,7,0.5,1,0.23333333333333334,0,1,4,1,1,0,19,19,17,1,1,5,26,1,0.9666666666666667,0.9666666666666667,0,-9,0,4,0
1,1,0,1,0,0,29,20,20,0.5,0,0.6666666666666666,0,1,4,1,1,1,19,29,17,1,0,3,20,1,0.16666666666666666,0.9666666666666667,0,-9,1,4,0
1,1,0,1,0,0,29,30,20,0.5,0,0.6666666666666666,0,1,4,1,1,1,29,29,29,1,0,3,18,1,0.9666666666666667,0.9666666666666667,0,1,1,5,0
1,0,0,1,0,0,29,23,25,0.6666666666666666,1,0.8333333333333334,0,1,4,1,1,0,22,2,15,1,0,6,23,1,0.9666666666666667,0.9666666666666667,1,-6,0,4,0
1,1,0,1,0,0,29,24,6,0.13333333333333333,3,0.2,0,1,4,1,1,1,23,22,0,1,1,7,27,1,0.9666666666666667,0.16666666666666666,0,-5,0,4,0
1,1,1,1,1,0,29,9,15,0.6666666666666666,0,0.5,0,1,4,0,1,1,9,16,13,1,1,3,18,1,0.16666666666666666,0.16666666666666666,0,-20,1,3,0
1,1,0,1,0,0,29,1,12,0,1,0.4,0,1,4,1,1,1,0,0,0,1,1,3,18,1,0,0,0,-28,0,1,0
1,1,0,1,0,0,29,20,15,0.5,0,0.5,0,1,4,1,1,0,19,27,26,1,1,6,25,1,0.6666666666666666,0.6666666666666666,0,-9,1,4,0
1,1,1,1,1,0,29,21,15,0.6666666666666666,0,0.5,0,1,5,1,1,1,20,18,6,0,0,5,20,1,0.16666666666666666,0.16666666666666666,1,-8,1,3,0
1,1,0,1,0,0,29,25,15,0.5,2,0.5,0,1,5,1,1,1,24,23,23,1,1,6,22,1,0.3333333333333333,0.3333333333333333,0,-4,1,5,0
1,1,0,1,0,0,29,29,25,0.3333333333333333,3,0.8333333333333334,0,1,5,1,1,1,28,28,28,1,1,6,27,1,0.16666666666666666,0.3333333333333333,1,0,0,4,0
1,0,0,0,0,0,29,30,15,0.6666666666666666,1,0.5,0,1,5,1,1,1,29,29,23,1,1,6,22,1,0,0,0,1,1,5,0
1,1,0,1,0,0,29,25,30,0.3333333333333333,1,1,0,1,5,1,1,1,24,21,26,1,1,6,27,1,0,0,1,-4,0,5,0
1,1,0,1,0,0,29,13,5,0.5,0,0.16666666666666666,0,1,5,1,1,1,12,8,3,0,0,5,22,1,0.16666666666666666,0.16666666666666666,0,-16,0,3,0
1,1,0,1,0,1,29,5,15,0.06666666666666667,2,0.5,0,1,5,1,1,1,4,0,1,1,1,6,24,1,0.9666666666666667,0.9666666666666667,0,-24,0,1,1
1,1,0,1,0,0,29,15,15,1,1,0.5,0,1,5,1,1,1,14,10,10,1,1,6,25,1,0.16666666666666666,0.16666666666666666,0,-14,0,3,0
1,1,0,1,0,0,29,30,30,0.8333333333333334,1,1,0,1,5,1,1,1,29,29,29,1,1,5,21,1,0.3333333333333333,0.5,1,1,0,5,0
1,1,0,1,0,0,29,23,20,0.3333333333333333,1,0.6666666666666666,0,1,5,1,1,1,22,20,21,1,1,6,21,1,0.5,0.8333333333333334,0,-6,0,4,1
1,1,0,1,0,1,29,13,15,0.5,0,0.5,0,1,5,1,1,1,12,14,5,1,1,6,23,1,0.3333333333333333,0.3333333333333333,0,-16,0,1,1
1,1,0,1,0,0,30,30,30,0.5,1,1,0,1,5,1,1,1,29,29,20,1,1,6,21,1,0.16666666666666666,0.16666666666666666,1,0,1,5,0
1,0,1,0,0,0,30,30,0,0.4666666666666667,0,0,0,1,5,1,0,0,29,2,2,0,0,6,27,1,0.5,0.3333333333333333,0,0,1,5,0
1,0,0,1,0,0,30,11,7,0.3333333333333333,1,0.23333333333333334,0,1,5,1,0,1,10,6,16,1,1,5,23,1,0.16666666666666666,0.3333333333333333,0,-19,0,3,0
1,1,0,1,0,0,30,11,10,0.06666666666666667,0,0.3333333333333333,0,1,5,1,1,1,10,7,10,1,1,3,20,1,0.16666666666666666,0.16666666666666666,0,-19,0,3,0
1,1,1,1,0,0,30,18,15,0.1,3,0.5,0,1,5,1,1,1,17,20,6,1,1,6,27,1,0.16666666666666666,0,0,-12,1,3,0
1,1,0,1,0,0,30,30,30,0.03333333333333333,2,1,0,1,5,1,1,1,29,29,24,1,1,6,25,1,0.3333333333333333,0.3333333333333333,1,0,0,5,0
1,1,0,0,0,0,30,16,15,1,1,0.5,0,1,5,1,1,1,15,8,7,1,1,5,24,1,0.16666666666666666,0.16666666666666666,0,-14,0,4,0
0,1,1,1,0,0,30,6,15,0.6666666666666666,2,0.5,0,1,5,1,1,0,5,29,5,0,1,6,24,1,0.16666666666666666,0.16666666666666666,0,-24,1,3,0
1,1,1,1,0,0,30,2,20,0.7333333333333333,1,0.6666666666666666,1,1,5,1,1,1,1,2,2,1,1,6,23,1,0.3333333333333333,0.3333333333333333,1,-28,1,1,1
1,1,0,0,0,1,30,1,30,1,2,1,0,1,5,1,1,1,0,0,11,1,1,6,24,1,0.16666666666666666,0.16666666666666666,1,-29,0,1,1
1,1,0,1,0,0,30,30,15,0.6,1,0.5,0,1,5,1,1,1,29,29,29,1,1,5,24,1,0,0.16666666666666666,1,0,1,5,0
1,1,0,1,0,0,30,16,5,0.5333333333333333,0,0.16666666666666666,0,1,5,1,1,1,15,22,29,1,1,6,22,1,0.6666666666666666,0.5,1,-14,0,5,0
1,1,0,0,0,0,30,26,15,0.23333333333333334,1,0.5,0,1,6,1,1,1,25,26,29,1,1,6,22,1,0.9666666666666667,0.16666666666666666,0,-4,0,4,0
1,1,0,1,0,0,30,30,15,0.3333333333333333,2,0.5,0,1,6,1,1,1,29,26,26,1,1,3,24,1,0,0,0,0,1,2,0
1,1,0,1,0,0,30,16,15,0.5,2,0.5,0,1,6,1,1,1,15,16,24,1,1,6,25,1,0.9666666666666667,0.6666666666666666,0,-14,0,5,0
1,1,0,1,0,0,30,25,10,0.16666666666666666,2,0.3333333333333333,0,1,6,1,1,0,24,23,29,1,1,6,26,1,0,0,0,-5,1,4,0
1,1,0,0,0,0,30,29,10,0.3333333333333333,1,0.3333333333333333,0,1,6,1,1,1,28,28,26,1,1,6,23,1,0,0,0,-1,0,4,0
